Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
23.9140625000,5,4280.1284179688,4294.8715820313,4322.3076171875,4334.7436523438,4252.1796875000,4300.8974609375,4163.8461914063,4300.8974609375,4292.3076171875,2780.8974609375,4313.7177734375,4291.9228515625,4220.6411132813,3552.0512695313,,,
23.9218750000,5,4280.3847656250,4295.0000000000,4321.5385742188,4333.2050781250,4252.9487304688,4298.4614257813,4161.2822265625,4300.8974609375,4292.5639648438,2790.2563476563,4314.3588867188,4285.7690429688,4221.1538085938,3554.7436523438,,,
23.9296875000,5,4278.3334960938,4294.3588867188,4323.0771484375,4331.2822265625,4252.3076171875,4297.1796875000,4164.6152343750,4297.4360351563,4292.9487304688,2799.4870605469,4314.8715820313,4284.6152343750,4217.6923828125,3552.5642089844,,,
23.9375000000,5,4279.6152343750,4292.1796875000,4318.9741210938,4331.4101562500,4252.3076171875,4299.6152343750,4165.8974609375,4295.7690429688,4291.7949218750,2805.1281738281,4313.4614257813,4287.1796875000,4216.9228515625,3549.7436523438,,,
23.9453125000,5,4281.4101562500,4291.0258789063,4315.5126953125,4331.5385742188,4251.9228515625,4301.1538085938,4163.8461914063,4298.3334960938,4291.9228515625,2812.4357910156,4312.5639648438,4287.8203125000,4219.1025390625,3551.7949218750,,,
23.9531250000,5,4281.2822265625,4292.1796875000,4317.5639648438,4328.3334960938,4248.5898437500,4298.7177734375,4167.8203125000,4298.5898437500,4291.7949218750,2817.6923828125,4310.7690429688,4287.3076171875,4220.3847656250,3553.5898437500,,,
23.9609375000,5,4278.0771484375,4291.4101562500,4317.5639648438,4327.8203125000,4250.6411132813,4296.6665039063,4168.8461914063,4297.4360351563,4292.5639648438,2825.0000000000,4311.0258789063,4287.9487304688,4220.3847656250,3550.5129394531,,,
23.9687500000,5,4275.1284179688,4290.7690429688,4314.1025390625,4326.1538085938,4256.2822265625,4293.7177734375,4165.5126953125,4295.6411132813,4292.4360351563,2832.8205566406,4310.2563476563,4284.6152343750,4217.9487304688,3548.7180175781,,,
23.9765625000,5,4272.5639648438,4291.2822265625,4313.7177734375,4326.2822265625,4253.3334960938,4294.1025390625,4166.1538085938,4294.8715820313,4291.2822265625,2838.3332519531,4310.1284179688,4284.6152343750,4217.3076171875,3548.0769042969,,,
23.9843750000,5,4273.5898437500,4289.6152343750,4316.1538085938,4324.7436523438,4249.2309570313,4296.1538085938,4167.8203125000,4296.1538085938,4293.3334960938,2844.2307128906,4310.0000000000,4287.6923828125,4220.6411132813,3546.9230957031,,,
23.9921875000,5,4277.0512695313,4285.8974609375,4317.0512695313,4325.6411132813,4249.2309570313,4295.2563476563,4164.4873046875,4295.6411132813,4292.0512695313,2850.7692871094,4310.2563476563,4286.9228515625,4221.5385742188,3548.8461914063,,,
24.0000000000,6,4276.0258789063,4285.2563476563,4316.9228515625,4326.4101562500,4249.8715820313,4294.4873046875,4165.7690429688,4296.0258789063,4288.5898437500,2857.6923828125,4306.9228515625,4280.7690429688,4217.4360351563,3550.2563476563,,,
24.0078125000,6,4273.8461914063,4284.8715820313,4314.1025390625,4325.3847656250,4251.4101562500,4297.6923828125,4164.8715820313,4294.4873046875,4290.1284179688,2863.0769042969,4308.4614257813,4282.8203125000,4215.0000000000,3548.7180175781,,,
24.0156250000,6,4273.8461914063,4284.1025390625,4310.6411132813,4323.3334960938,4256.2822265625,4299.1025390625,4161.4101562500,4293.7177734375,4292.8203125000,2871.1538085938,4311.6665039063,4284.8715820313,4216.2822265625,3547.4357910156,,,
24.0234375000,6,4275.8974609375,4284.1025390625,4310.8974609375,4326.1538085938,4255.1284179688,4292.5639648438,4163.5898437500,4292.5639648438,4288.2050781250,2877.9487304688,4310.8974609375,4282.3076171875,4219.3588867188,3548.3332519531,,,
24.0312500000,6,4273.7177734375,4285.1284179688,4312.9487304688,4324.8715820313,4252.3076171875,4288.7177734375,4168.2050781250,4290.3847656250,4285.8974609375,2882.6923828125,4305.2563476563,4280.0000000000,4218.3334960938,3548.2050781250,,,
24.0390625000,6,4271.6665039063,4283.8461914063,4313.0771484375,4320.5126953125,4255.0000000000,4292.3076171875,4165.3847656250,4289.7436523438,4286.9228515625,2890.7692871094,4306.5385742188,4281.6665039063,4215.6411132813,3547.8205566406,,,
24.0468750000,6,4271.4101562500,4281.7949218750,4311.5385742188,4320.2563476563,4258.4614257813,4293.2050781250,4167.5639648438,4291.4101562500,4286.5385742188,2897.6923828125,4308.3334960938,4279.8715820313,4214.6152343750,3548.3332519531,,,
